Date,ARCO,BFR,CRESY,EDN,GGAL,IRS,IRCP,BMA,MELI,NTL,PAM,PZE,TEO,TGS,YPF
2013-04-02 00:00:00+00:00,11.960993,3.947155,13.320556,8.972274,2.39,5.237476,11.003454,8.722559,95.983133,11.651561,3.9,4.399836,12.456892,1.524819,13.361027
2013-04-03 00:00:00+00:00,11.751318,4.015546,13.730565,8.79169,2.16,5.455292,10.96498,8.498664,94.412698,11.537967,3.86,4.517165,12.269698,1.66088,13.487626
2013-04-04 00:00:00+00:00,11.798972,4.064397,13.759171,8.744165,2.11,5.405788,11.772926,8.480007,93.480246,11.765156,3.82,4.556274,12.422857,1.585812,13.429195
2013-04-05 00:00:00+00:00,11.77991,3.976465,13.68289,8.658625,2.15,5.475093,11.772926,8.396046,92.066858,11.919319,3.82,4.487833,12.39733,1.632729,13.614224
2013-04-08 00:00:00+00:00,11.894278,4.171869,14.569655,9.048311,2.15,5.85132,11.157348,8.722559,92.125747,12.341243,3.84,4.49761,12.882332,1.595195,13.302596
2013-04-09 00:00:00+00:00,11.837094,4.25003,14.712682,9.105341,2.2,5.871122,11.349716,8.778532,92.066858,12.673912,3.97,4.80071,13.358825,1.520127,13.896637
2013-04-10 00:00:00+00:00,11.741787,4.181639,14.693612,9.238397,2.23,5.861221,11.357411,8.890479,94.677705,12.706368,3.93,4.702936,13.31628,1.548278,13.331811
2013-04-11 00:00:00+00:00,11.91334,4.162099,14.655471,9.000784,2.22,5.70281,11.180432,8.741217,95.884982,13.006583,3.83,4.585607,13.554528,1.510744,13.234428
2013-04-12 00:00:00+00:00,11.856155,4.025316,14.378953,8.924748,2.19,5.465193,11.772926,8.685243,94.353801,13.128291,3.84,4.507388,13.486457,1.576428,13.45841
2013-04-15 00:00:00+00:00,11.608359,3.937385,14.083365,8.744165,2.07,5.376086,11.003454,8.53598,91.095145,12.852418,3.72,4.350949,13.086543,1.567045,12.864371
2013-04-16 00:00:00+00:00,11.741787,3.966695,14.493374,8.525558,2.13,5.484994,11.272769,8.433362,93.26431,12.811849,3.55,4.370503,13.10356,1.567045,12.864371
2013-04-17 00:00:00+00:00,11.570236,3.849453,14.035689,8.306961,2.0,5.28698,11.272769,8.09752,90.938105,12.698254,3.49,4.311839,12.856805,1.510744,12.484574
2013-04-18 00:00:00+00:00,11.570236,3.829912,13.968943,8.325968,2.04,5.237476,10.988064,8.069533,88.788568,12.998469,3.45,4.302062,12.780226,1.595195,12.328761
2013-04-19 00:00:00+00:00,11.560705,3.829912,14.207321,8.192901,2.04,5.29688,10.864949,8.069533,90.201963,13.274342,3.45,4.302062,13.171631,1.529511,12.367714
2013-04-22 00:00:00+00:00,11.827564,3.947155,14.359883,8.316465,2.04,5.366186,10.96498,8.022889,91.909811,13.793631,3.43,4.438945,13.775757,1.538894,12.367714
2013-04-23 00:00:00+00:00,11.827564,4.044856,14.54105,8.268938,2.07,5.514696,11.334327,8.060204,92.223898,14.231782,3.57,4.409613,13.860845,1.557661,12.474837
2013-04-24 00:00:00+00:00,11.837094,4.22072,14.922454,8.344975,2.07,5.653306,11.018843,8.134836,94.775856,14.069503,3.54,4.634494,13.75023,1.567045,12.533266
2013-04-25 00:00:00+00:00,12.180198,4.191409,15.075017,8.335471,2.07,5.663207,10.803391,8.144164,94.874015,14.158757,3.54,4.72249,13.971459,1.604579,12.416406
2013-04-26 00:00:00+00:00,12.084892,4.191409,14.960595,8.230924,2.07,5.613703,10.811086,8.069533,95.561078,14.126301,3.37,4.712713,13.690668,1.595195,12.416406
2013-04-29 00:00:00+00:00,12.599548,4.347732,15.075017,8.145384,1.92,5.603802,11.041928,7.994901,97.131513,14.02082,3.49,4.830042,14.039529,1.557661,12.416406
2013-04-30 00:00:00+00:00,12.980775,4.386813,15.198973,8.344975,2.09,5.574101,11.080401,8.041546,98.731393,14.605021,3.58,4.810487,14.03102,1.595195,12.903324
2013-05-01 00:00:00+00:00,12.847345,4.24026,14.960595,8.116864,2.02,5.524597,11.134264,8.041546,96.14999,14.54011,3.55,4.72249,14.235231,1.66088,13.117568
2013-05-02 00:00:00+00:00,13.409655,4.191409,15.046411,8.164391,2.02,5.692909,10.864949,8.022889,98.868813,14.726729,3.55,4.614939,14.116109,1.642113,12.766987
2013-05-03 00:00:00+00:00,13.504962,4.054627,14.903384,7.983798,2.02,5.603802,10.864949,8.050875,102.098017,14.734843,3.52,4.644271,13.75023,1.642113,12.990969
2013-05-06 00:00:00+00:00,13.647922,4.152329,14.798499,8.126368,2.11,5.603802,10.895728,8.181481,102.029311,14.726729,3.55,4.605162,13.996986,1.670263,13.244167
2013-05-07 00:00:00+00:00,13.638392,4.191409,14.97013,8.192901,2.31,5.692909,10.741833,8.284099,120.275827,14.531996,3.76,4.644271,13.920407,1.68903,13.916113
2013-05-08 00:00:00+00:00,13.61933,4.181639,14.893849,8.173894,2.25,5.633505,10.526381,8.396046,115.417283,14.248009,3.81,4.585607,13.903389,1.717181,13.516841
2013-05-09 00:00:00+00:00,13.676514,4.152329,14.636402,8.040828,2.09,5.544398,10.880339,8.396046,116.163243,14.361604,3.64,4.566052,13.8183,1.68903,13.049399
2013-05-10 00:00:00+00:00,13.638392,4.054627,14.331277,8.183398,2.09,5.415689,10.780307,8.424032,118.882066,14.450856,3.45,4.507388,13.563036,1.679647,12.552743
2013-05-13 00:00:00+00:00,13.829005,4.142558,14.407558,8.135871,2.16,5.544398,10.84956,8.35873,117.085877,14.613135,3.73,4.4585,13.529001,1.670263,12.766987
2013-05-14 00:00:00+00:00,13.991027,4.064397,14.321743,8.126368,2.32,5.445391,10.780307,8.405375,117.77294,14.580679,3.77,4.409613,13.418387,1.726564,11.939227
2013-05-15 00:00:00+00:00,14.153048,4.162099,14.398024,7.983798,2.45,5.475093,10.587939,8.461348,117.085877,14.321034,3.65,4.360726,13.60558,1.707797,13.049399
2013-05-16 00:00:00+00:00,14.429437,4.093707,14.207321,7.917275,2.44,5.524597,10.603328,8.45202,117.782757,14.183098,3.55,4.380281,13.571545,1.698414,12.971492
2013-05-17 00:00:00+00:00,14.591459,4.064397,14.598261,7.879251,2.33,5.544398,10.788002,8.349401,122.906308,14.799754,3.41,4.399836,13.580054,1.717181,13.555794
2013-05-20 00:00:00+00:00,14.734419,4.142558,14.665007,7.841238,2.11,5.554299,11.503611,8.088191,122.003309,14.799754,3.35,4.448723,13.716195,1.735948,13.39998
2013-05-21 00:00:00+00:00,14.600989,4.152329,14.769893,7.888755,2.49,5.643405,11.465137,8.284099,122.543142,14.986374,3.35,4.409613,13.690668,1.735948,14.023235
2013-05-22 00:00:00+00:00,14.162578,4.064397,14.407558,7.774704,2.24,5.554299,12.688598,8.35873,118.361852,14.402173,3.3,4.321617,13.546019,1.707797,13.867421
2013-05-23 00:00:00+00:00,14.029149,3.996006,14.11197,7.736681,2.32,5.534498,13.400852,8.368059,117.704234,14.402173,3.37,4.419391,13.443913,1.68903,13.828468
2013-05-24 00:00:00+00:00,14.248354,3.976465,14.264532,7.689164,2.12,5.5642,13.269712,8.349401,114.955974,14.442742,3.4,4.311839,13.350316,1.679647,13.604486
2013-05-28 00:00:00+00:00,14.210232,3.956925,14.102435,7.660654,2.15,5.5642,13.220534,8.368059,116.163243,15.083741,3.46,4.302062,13.222684,1.66088,13.419457
2013-05-29 00:00:00+00:00,13.590738,3.996006,14.426629,7.651141,2.13,5.524597,13.277909,8.312085,115.849156,14.848437,3.32,4.331394,13.324789,1.66088,14.422508
2013-05-30 00:00:00+00:00,13.638392,4.054627,14.455234,7.565602,2.25,5.494895,13.269712,8.470677,116.614743,14.848437,3.33,4.155401,13.18014,1.679647,14.41277
2013-05-31 00:00:00+00:00,13.133266,3.976465,14.407558,7.689164,2.49,5.475093,13.318889,8.806519,112.502166,13.826087,3.24,4.126068,12.899349,1.68903,14.023235
2013-06-03 00:00:00+00:00,12.809223,4.074167,14.483839,7.632134,2.4,5.534498,12.958255,8.71323,112.767174,13.785517,3.38,4.145623,13.137596,1.679647,14.071927
2013-06-04 00:00:00+00:00,13.047489,4.074167,14.617331,7.679661,2.36,5.643405,13.277909,8.489336,112.659206,14.053275,3.43,4.223843,13.401369,1.679647,14.023235
2013-06-05 00:00:00+00:00,12.732977,4.064397,14.321743,7.575105,2.39,5.574101,12.974647,8.45202,111.805286,14.199326,3.4,4.135846,13.333298,1.679647,14.305647
2013-06-06 00:00:00+00:00,12.847345,4.015546,14.54105,7.575105,2.37,5.584001,13.318889,8.489336,115.073752,13.915339,3.42,4.165178,13.086543,1.717181,14.364078
2013-06-07 00:00:00+00:00,12.971244,3.986235,14.855709,7.470558,2.33,5.70281,13.318889,8.340072,114.710593,13.915339,3.4,4.126068,13.520492,1.735948,14.773089
2013-06-10 00:00:00+00:00,13.199981,4.103477,15.513632,7.489565,2.3,5.70281,13.310693,8.414704,115.368212,13.915339,3.27,4.126068,13.682159,1.717181,14.812042
